id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,KMeu5tFH
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,MrHErG2G
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,B4zVsMzy
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,wItbtm9b
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,lkXKoE05
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,pbB5Lpsp
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,hcB8NtJw
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,GKs4eAan
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,auOFcFlO
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,Xz3daM2j
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,6KoCln7z
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,O2Faw1em
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,UysUEHrf
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,dSnQ4uEr
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,qGB16bGv
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,dk7xI2Jj
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,e7Ne87uB
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,IEIjqyma
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,THWFIWvj
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,QK3IHZwR
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,PONgTbMf
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,Y0FUJWci
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,nGfIDmxD
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,IR85xSA9
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,I2Ci0ilK
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,pYrUWLG0
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,er41hss9
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,7EKJeo10
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,PCwcywWy
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,T4dBjw3f
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,z8CQsWkU
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,GhDtf1Xu
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,tGUyemPE
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,A8JSRSCy
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,5qbmy1oY
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,49fMjuZC
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,Yjm53S4z
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,c3oAbiyB
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,56ZfQTtL
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,sM2dg3Fr
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,DQdC3xlZ
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,f9BYtRQk
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,Aa1nMA5u
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,UQJ0cnyQ
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,ARh2JNB1
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,P20VlANC
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,MKDiN44F
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,ohF7HPX8
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,JrQaPdWn
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,vQHSkAWM
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,YlsOYbR3
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,F3KJiSff
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,gQBic7wj
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,Ki50WY2A
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,gv2eO6Tr
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,uHZdphKE
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,DYFAKfqA
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,uvjr0hdT
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,d8XRjfRS
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,POqNxwiD
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,OGRWooLK
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,QVlFrHAj
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,S78pXVf5
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,zw1fb3Ts
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,mmyzD9RO
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,T5PE9yHj
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,gZULeisX
67,Остюков Артур Романович,329,11и,3,Остюков_АР,eWwvur77
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,jrxmpGFx
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,bbqlTLHv
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,wouL8i5D
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,yZUp3iWC
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,nuMjuqEt
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,5thk7wBz
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,yfUc8muB
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,3DdCGYEo
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,gPbya4D3
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,0vTPdcYk
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,3PgzUa0w
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,Z1XEShUq
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,DnJsULtm
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,g5dascQP
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,za3xeqKT
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,xFWuoCMH
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,xArAeBC6
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,O5elVqxL
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,CHEq5uFr
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,zfHmDeHq
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,6vwxnlru
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,eanGn005
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,vLqoYLte
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,kB12FeEq
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,sioPNBkb
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,tbkJdxz3
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,EMSxTnVz
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,6N1hiep9
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,rAxDoz8s
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,WjVi0tlZ
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,ZOeHuW7i
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,uRJFHfkU
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,t4LLdfco
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,0VymmMTH
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,vGGiWRUp
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,QwxjLTUq
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,ZfyYp0Eo
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,lmG2KRgB
